,predict,relation
18100,PersonX traces the diagrams in this book.,xAttr
18101,PersonX is arrested.,xEffect
18102,PersonY catches PersonX looking at his wife.,xWant
18103,PersonX starts working on a DIY project.,xIntent
18104,PersonX starts taking daily walks in the park.,xNeed
18105,PersonX paces back and forth before giving the speech.,xAttr
18106,PersonX is treated by a doctor.,xReact
18107,PersonX wears deodorant == They smell good.,xEffect
18108,PersonY shouts at PersonX and shoves them.,oEffect
18109,PersonY is appreciative of PersonX's loyalty and friendliness.,xAttr
18110,PersonX plays video games all day.,xAttr
18111,PersonX offers to fund PersonY's startup.,xEffect
18112,PersonX goes to sleep early.,xReact
18113,PersonY shakes PersonX's hand.,xWant
18114,Person X plays a prank on Person Y.,xIntent
18115,PersonX meets PersonY's dad.,xReact
18116,PersonX gets into a fight with another person.,xNeed
18117,PersonX discusses the differences.,xNeed
18118,PersonX starts looking for new employment opportunities.,xEffect
18119,PersonX is entrusted with more responsible jobs.,xEffect
18120,PersonX holds back the tears == She plays basketball.,xNeed
18121,gets thanked and receives a tip.,xEffect
18122,PersonX sees a cat.,xEffect
18123,PersonX celebrates with friends.,xIntent
18124,PersonX gives the money to support a charity cause.,xIntent
18125,PersonX thanks PersonY for their generosity.,xIntent
18126,PersonX finds a book in PersonY's closet.,oEffect
18127,PersonX gets caught by the police.,xNeed
18128,PersonX accepts another job.,xEffect
18129,PersonX starts a new company.,xWant
18130,PersonX takes on a new challenge.,xAttr
18131,Ben talks about it to move on.,xWant
18132,PersonX investigates further to uncover new evidence.,xIntent
18133,PersonX receives recognition for their hard work.,xIntent
18134,PersonY expresses gratitude.,oReact
18135,PersonX convinces the jury.,xIntent
18136,PersonX excels in their chosen field.,xAttr
18137,PersonX mingles with others.,xAttr
18138,PersonX opens a gift and remembers this day.,xWant
18139,PersonX goes back years to research their family history.,xNeed
18140,PersonX calls PersonY to apologize for eating their ice cream.,xWant
18141,PersonY gets upset and confronts PersonX.,oReact
18142,PersonX accidentally put salt instead of sugar in the cake.,xWant
18143,PersonX's friends accept the offer and come inside for a cup of tea.,xWant
18144,PersonX is worried about PersonY's health.,xWant
18145,PersonY reveals their deepest secrets to PersonX.,oWant
18146,PersonX gets up and dusts themselves off.,xWant
18147,PersonY thinks about potential eye injury.,oEffect
18148,Person X even took the necklace.,xWant
18149,PersonX receives payment for groceries.,oEffect
18150,PersonX decides to give up.,xAttr
18151,to admit defeat and congratulate PersonX on their victory.,oWant
18152,working on the project.,xIntent
18153,PersonX finds a candle burning in the room.,xReact
18154,PersonX puts on a suit.,xIntent
18155,PersonX starts searching for nearby cafes to meet friends.,xEffect
18156,PersonY gives PersonX a heartfelt thank you.,xReact
18157,PersonX wakes up early for work.,xNeed
18158,PersonX sets up a campfire on shore.,xAttr
18159,PersonX wants to try a new look.,xIntent
18160,PersonX laughs.,xReact
18161,"PersonX turns red == upset 
EventB: PersonX starts to cry.",xReact
18162,PersonY feels disappointed.,xNeed
18163,PersonX hires a tutor to teach PersonY.,oWant
18164,PersonX drops PersonY off at their doorstep.,xReact
18165,PersonX apologizes to PersonY.,xEffect
18166,PersonX confidently explains the topic to PersonY.,xAttr
18167,PersonX searches for comfort.,xAttr
18168,PersonX gives a surprise gift to PersonX's brother.,oReact
18169,PersonX collects together the ingredients for a recipe.,xNeed
18170,PersonX regrets their decision and cries softly.,xEffect
18171,PersonX heads back home after finishing work.,xAttr
18172,PersonX wants to spend more time with friends.,xEffect
18173,lawyer,xWant
18174,,xReact
18175,PersonX shows off the fish to their friends.,xAttr
18176,PersonX takes a nap.,xEffect
18177,PersonY learns the directions.,xNeed
18178,The boy gives PersonX a surprise gift.,xAttr
18179,PersonX undergoes extensive training and practice.,xIntent
18180,PersonX assists in making gift baskets.,oWant
18181,PersonX lies to his friend about the party.,xIntent
18182,PersonX learns how to swim.,xNeed
18183,PersonX selects another item from the menu.,xIntent
18184,PersonX catches a big fish.,xAttr
18185,PersonX makes pancakes because they are creative and handy.,xAttr
18186,PersonX texts PersonY immediately.,xReact
18187,PersonX returns PersonY's stolen wallet.,oWant
18188,PersonX gets a sunburn.,xEffect
18189,PersonX does PersonX's makeup.,xAttr
18190,PersonX signs up for a marathon.,xAttr
18191,PersonY apologizes for the misunderstanding.,xReact
18192,PersonX no longer loves PersonY.,xReact
18193,PersonX finds a seat.,xWant
18194,PersonX invites PersonY to the party == PersonY feels grateful.,oReact
18195,PersonX stays up all night studying == happy that he or she learned the material.,xReact
18196,PersonX gets off the train.,xWant
18197,PersonY appreciates PersonX's gesture.,xAttr
18198,PersonX takes French classes.,xNeed
18199,PersonX goes on a luxury vacation.,xReact
18200,PersonX avoids challenges much.,xEffect
18201,PersonX realizes they are lost.,xReact
18202,PersonX makes a decision.,xAttr
18203,PersonX starts studying in advance for the exam.,xAttr
18204,PersonX attacks the enemy's monster and the enemy is afraid.,oReact
18205,PersonY gets his hands tied.,oEffect
18206,PersonX asks questions == PersonX gets answers.,xEffect
18207,PersonX invites their friends to play a game of baseball.,xIntent
18208,PersonY has a new treatment plan.,xAttr
18209,PersonX wakes up feeling refreshed.,xNeed
18210,PersonX follows the directions on the sign.,xWant
18211,"PersonX doesn't want to see PersonY again. 
EventB: PersonX avoids places where PersonY might be present.",oReact
18212,PersonY is impressed by the places shown by PersonX.,xReact
18213,PersonX meets a new neighbor.,xAttr
18214,PersonX has to find a new job.,xEffect
18215,PersonX sells cookies == gets a sugar rush.,xEffect
18216,PersonX sleeps in the afternoon.,xAttr
18217,PersonX saves money for later.,xEffect
18218,PersonX tells the truth.,xAttr
18219,PersonX trains every day == gets stronger.,xNeed
18220,PersonX pays off their mortgage.,xEffect
18221,PersonX starts researching the topic.,xReact
18222,PersonX is reprimanded by PersonY.,xEffect
18223,PersonX prays every morning.,xWant
18224,PersonX receives a warm welcome from their family.,xReact
18225,PersonY visits PersonX.,oWant
18226,PersonX arrives home and hugs their loved ones.,xWant
18227,The waitress answers his question.,xAttr
18228,PersonX swims to the deep end because the water is warmer there.,xReact
18229,PersonX storms out of the room.,oWant
18230,PersonX saves one's child.,xEffect
18231,PersonX exchanges contact information with them.,xWant
18232,PersonX smiles at PersonY.,xAttr
18233,PersonX goes shopping.,xEffect
18234,PersonX executes orders to maintain the structure.,xWant
18235,PersonX's sheets smell fresh.,xAttr
18236,PersonX is excited and proud of themselves.,xAttr
18237,PersonX pulls a muscle == go to the doctor for treatment.,xWant
18238,PersonX wins the lottery.,xEffect
18239,PersonX eventually found success.,xAttr
18240,PersonX posts about it on social media.,xNeed
18241,PersonX makes a paper plane to gift it to his son.,xWant
18242,PersonX drinks a lot of water.,xReact
18243,PersonX helps PersonY find their lost phone.,xReact
18244,PersonX also saw PersonY.,oEffect
18245,PersonY smiles at PersonX.,oWant
18246,PersonX contacts PersonX's friends == makes plans to meet up.,oWant
18247,PersonX works with children == PersonX didn't follow directions.,oEffect
18248,PersonX finishes their sandwich.,xReact
18249,PersonX builds a snowman.,oWant
18250,PersonX buys another luxury car.,xIntent
18251,PersonX checks themselves out in the mirror.,xReact
18252,PersonX wants to make more money == starting a business,xIntent
18253,PersonY decides to purchase the product.,oWant
18254,PersonY's dad is left with a broken arm.,oReact
18255,PersonX takes a long bath to relax.,xReact
18256,PersonX feels relaxed and refreshed.,xReact
18257,PersonX feels proud and accomplished at the top of the mountain.,xReact
18258,PersonX tucks PersonY in and kisses their forehead.,xAttr
18259,PersonX gets thirsty.,xNeed
18260,PersonX gains weight.,xEffect
18261,PersonX checks PersonX's mail == finds an important letter,xEffect
18262,PersonX buys a loaf of bread to make a sandwich.,xWant
18263,PersonX carries a stack of books in PersonX's hand.,xIntent
18264,PersonX grabs PersonY's face == PersonY is shocked.,xReact
18265,PersonX finally found one.,xAttr
18266,PersonX exhausts every take more classes.,xWant
18267,PersonX feels betrayed.,oReact
18268,PersonX receives a surprise gift.,xReact
18269,PersonX adopts the dog.,xReact
18270,PersonX is going swimming at the beach.,xWant
18271,PersonX has stage fright == freezes on stage.,xWant
18272,PersonX needs to fix the broken engine.,xNeed
18273,PersonY feels lonely.,oReact
18274,PersonX watches TV.,xWant
18275,PersonX plays with the kitten.,xAttr
18276,PersonX uses PersonY's car to get to work.,xEffect
18277,PersonX buys apples because they are health conscious and vegetarian.,xAttr
18278,PersonY smiles gratefully at PersonX.,oWant
18279,PersonX distinguishes a cheetah from the animals.,xAttr
18280,PersonX grows vegetables.,xIntent
18281,PersonX talks to PersonY about PersonY's doctor.,xEffect
18282,PersonX presses pause.,xEffect
18283,PersonX asks PersonY to lunch with them.,xIntent
18284,PersonX feels productive and refreshed.,xReact
18285,PersonX makes a pot of coffee == to have a caffeine boost.,xIntent
18286,PersonX gets excited when they see PersonX's grandma.,xEffect
18287,PersonX buys bottled water == PersonX is thirsty.,xEffect
18288,PersonX accuses PersonY of embezzlement.,xWant
18289,PersonX goes up to PersonY's friends.,xWant
18290,"PersonX sets PersonX's alarm clock in order == make sure everything worked out, relax",xWant
18291,,xWant
18292,PersonX updates PersonY on the latest project developments.,xWant
18293,PersonY appreciates PersonX's hard work.,xAttr
18294,PersonX represents another company.,xWant
18295,PersonX gets accused of a crime.,xEffect
18296,PersonX takes PersonY's phone away == PersonY feels frustrated.,xReact
18297,PersonY's friends have a great time at the party.,oEffect
18298,PersonX needs to come up with an excuse.,xNeed
18299,PersonX shows thee the painting.,oWant
18300,"PersonX adopts a new cat. 
EventB: PersonX loves having a new furry friend.",xEffect
18301,PersonX puts up a nativity scene.,xAttr
18302,PersonX sees beautiful flowers.,xReact
18303,PersonX goes to the library.,xNeed
18304,PersonX opens the front door and greets their guests.,xAttr
18305,PersonX calls security to open the gate.,xWant
18306,PersonX finally gave in to their friends' request and felt relieved.,oReact
18307,PersonX practices piano for long hours.,xAttr
18308,PersonY requests permission to take time off.,xNeed
18309,PersonX particularly liked going to art museums.,xAttr
18310,PersonX goes home after working for an hour.,xWant
18311,PersonY learns new skills from the hired instructor.,oWant
18312,PersonX feels support.,xReact
18313,PersonX starts digging a hole.,xNeed
18314,PersonX confronts PersonY to ask for more details.,xReact
18315,PersonX raises their hand in greeting.,xIntent
18316,PersonX and PersonY start talking to each other.,xIntent
18317,PersonX is always on the go.,xAttr
18318,PersonX separates the goats from the sheep == they realize one goat is missing,xEffect
18319,PersonX apologizes to PersonY.,xReact
18320,PersonX is going to kill PersonY because PersonY murdered his family.,xIntent
18321,PersonX decorates PersonX's house for the holiday season.,xIntent
18322,PersonX falls asleep.,xEffect
18323,PersonX buys PersonY flowers.,xReact
18324,PersonX starts the fire == to get warm.,xWant
18325,PersonX tells PersonX's father about an important achievement.,oReact
18326,PersonX wants to have a moment alone.,xIntent
18327,PersonX reflects on their past decisions.,xAttr
18328,PersonX tells PersonY it's okay.,oWant
18329,PersonX serves one's family and friends.,xAttr
18330,PersonY congratulates PersonX on their achievement.,xReact
18331,PersonX patiently explains the concepts to PersonY.,xAttr
18332,PersonX putteth forth PersonX's best effort to assist others.,xAttr
18333,The performer feels dejected.,oReact
18334,PersonX draws aside the curtains and opens the window.,xReact
18335,PersonX goes to visit their friend and talks to them.,xEffect
18336,PersonX is taken to the hospital.,xReact
18337,PersonX screams and runs away.,xAttr
18338,PersonX smiles,xEffect
18339,PersonY practices playing music.,xNeed
18340,PersonX separates recyclables from regular trash.,xAttr
18341,PersonX receives a refund == PersonX saves the refund for their next vacation.,xWant
18342,PersonX smiles and thanks the doctor.,xReact
18343,PersonX receives an award for Employee of the Month.,xAttr
18344,PersonX tells my friend what they know and asks if they need any other help.,oEffect
18345,PersonY is rushed to the hospital.,xAttr
18346,PersonX guesses the correct answer.,xNeed
18347,PersonX is amazed by the scenery outside the train window.,xAttr
18348,PersonX opens a can of dog food.,xNeed
18349,PersonX scrapes together a last-minute presentation.,xAttr
18350,PersonX calms down his emotions after a good cry.,xWant
18351,PersonX reads PersonY's book == to learn more things by reading.,xIntent
18352,PersonX schedules an appointment with a nutritionist.,oReact
18353,PersonX sees their reflection in the mirror.,oWant
18354,PersonX sells their prized possessions for money.,xAttr
18355,PersonX sees dark clouds in the sky.,xWant
18356,"PersonX corners the market, causing chaos.",xAttr
18357,PersonX traces PersonY's family lineage back.,xWant
18358,PersonX goes out and drives around to celebrate getting their driver's license.,xWant
18359,PersonX's skin blisters.,xEffect
18360,PersonX is found by a search party.,xEffect
18361,PersonY ensures he/she has enough money to pay PersonX.,oEffect
18362,PersonX buys a new car.,xReact
18363,to go fishing,xIntent
18364,PersonX checks their time and wants to practice more.,xEffect
18365,PersonY feels grateful for the thoughtful gesture.,oReact
18366,PersonX gives PersonY thumbs up.,xAttr
18367,PersonX is resilient and doesn't give up.,xAttr
18368,PersonX cheers loudly for their favorite team.,xAttr
18369,PersonY celebrates their victory.,xReact
18370,PersonX dances ballet == practices pirouettes.,xEffect
18371,PersonX avoids public speaking events.,xAttr
18372,The room looks bright and colorful.,xReact
18373,PersonX takes PersonY's motorcycle for a ride.,oWant
18374,PersonX misses their family very much.,xAttr
18375,PersonX wants to win the competition.,xIntent
18376,PersonX stops at a gas station.,xAttr
18377,PersonX sets the timer in order.,xReact
18378,PersonX has a tidy and well-maintained lawn.,xAttr
18379,PersonX beats back the temptation.,xAttr
18380,PersonY asks PersonX out on a date.,oWant
18381,PersonX is in charge of facilitating communication between PersonY.,xIntent
18382,PersonX reads PersonY's books == gains valuable knowledge,xReact
18383,PersonX takes it to the shop == PersonX buys some groceries.,xWant
18384,PersonX goes and play == gets tired.,xEffect
18385,PersonX celebrates with family and friends.,xReact
18386,PersonX leaves their lunch at school.,xReact
18387,PersonX picks up the car right away.,xNeed
18388,PersonY blushes and their ears get hot.,oEffect
18389,PersonX surprises PersonX's wife.,xAttr
18390,PersonX decides to take cooking classes.,xWant
18391,PersonX starts a new workout routine.,xNeed
18392,PersonX accidentally burned their hand.,oEffect
18393,PersonX is relieved.,xReact
18394,PersonX returns PersonY's lost wallet.,xReact
18395,PersonY approaches PersonX and shakes their hand.,oWant
18396,PersonX hides PersonX's candle under a bushel == to find another hiding place,xWant
18397,PersonX drives home and is upset.,xNeed
18398,PersonX decides to leave the party early.,xAttr
18399,PersonX changes people's behavior.,oReact
18400,PersonX arrives late to work.,xReact
18401,PersonX stretches his fingers.,xIntent
18402,PersonY happily calls PersonX.,xReact
18403,PersonX sends money abroad == receives a confirmation email.,xEffect
18404,PersonX calls PersonY into the office to discuss a new project.,xIntent
18405,PersonX loses control of the car while driving.,xEffect
18406,PersonX gets arrested.,xEffect
18407,PersonX catches a big fish.,xWant
18408,PersonX pats PersonY's shoulder.,oReact
18409,PersonX fixes the hole == has a warm room.,xEffect
18410,PersonX strains every muscle in their body.,xAttr
18411,PersonY smiles at PersonX.,xReact
18412,PersonX pulls back a little == PersonX is avoiding a collision.,xNeed
18413,PersonX turns the volume and gets yelled at by their roommate.,xEffect
18414,My friend waves back.,xReact
18415,"PersonX touches the hem of PersonY's garment == to show gratitude towards PersonY, ""to offer their help""",xWant
18416,PersonX decides to touch PersonY's fingers.,xNeed
18417,PersonX finds a letter == Reads the information in the letter.,xEffect
18418,PersonX views the beautiful sunrise on the horizon.,xWant
18419,PersonX saves a falling child.,xReact
18420,PersonX takes a deep breath and relaxes.,xWant
18421,PersonX smiles from ear to ear.,oReact
18422,PersonX bakes a cake next.,xAttr
18423,PersonX feels satisfied after eating the pizza.,xEffect
18424,PersonX leaves a legacy.,oReact
18425,PersonX puts PersonY's plan into action == PersonY's plan is realized.,xReact
18426,PersonY takes a break and talks to PersonX.,xWant
18427,PersonX accidentally steps on a branch and hears a crack.,xNeed
18428,PersonX feels wiser.,xReact
18429,PersonX squints his eyes and looks around the room.,xEffect
18430,PersonX gathers documents to petition for a name change.,xNeed
18431,PersonX submits a manuscript to a publisher.,oWant
18432,PersonX divides the school year into periods.,xNeed
18433,PersonX celebrates meeting their goals.,xWant
18434,"PersonX affects the class in ways == funny, cool
EventB: The class bursts into laughter and thinks PersonX is hilarious.",xAttr
18435,PersonX realizes they forgot their wallet.,oReact
18436,own childhood memories.,oWant
18437,PersonX starts singing.,xIntent
18438,PersonX wants the house to be tidy.,xIntent
18439,PersonX phrases it well.,oEffect
18440,PersonX recently enrolled == PersonX is busy studying.,xReact
18441,PersonX gives PersonY a present == to celebrate birthday,xIntent
18442,PersonY spreads the rumor to others.,xAttr
18443,PersonY feels grateful.,xReact
18444,Person X teaches children.,xIntent
18445,PersonX also bought a new car.,xAttr
18446,"PersonX spills their soda, causing a mess.",oEffect
18447,PersonX sees the bus coming.,xIntent
18448,PersonX calls a tow truck.,xEffect
18449,PersonY reaches out to PersonX to schedule a meeting to discuss the document.,xNeed
18450,PersonX buys fresh produce and ingredients for a family dinner.,xAttr
18451,PersonX finds new books.,oEffect
18452,PersonY's parents are protective.,oEffect
18453,PersonY congratulates PersonX on their delicious pie.,oReact
18454,PersonX finds buried treasure.,xNeed
18455,PersonX feeds the cat.,xAttr
18456,PersonX bakes a delicious cake.,xWant
18457,PersonX avoids sunburn.,xEffect
18458,PersonX achieves a personal goal.,xReact
18459,PersonY also forms an arch next to PersonX to reciprocate the gesture.,oWant
18460,PersonX pretends to be busy on their phone.,xNeed
18461,PersonY thanks PersonX for their help.,xWant
18462,PersonX buys groceries because they want to cook a healthy meal.,xAttr
18463,PersonX develops strong networking skills.,xAttr
18464,PersonX runs away.,xWant
18465,PersonX apologizes to PersonX's mother.,xWant
18466,PersonY becomes sick.,oEffect
18467,PersonY confronts PersonX for being greedy.,xAttr
18468,PersonX gives PersonY access to the shared drive.,xIntent
18469,PersonX pays the loan back.,xNeed
18470,PersonX bends knees and thrusts body forward.,xNeed
18471,PersonX gets the chance to travel abroad.,oReact
18472,PersonX puts PersonY's advice into practice.,xWant
18473,PersonX has lighter hair.,oEffect
18474,PersonX wears bright colors everywhere.,xEffect
18475,PersonX is nervous about their promposal.,oReact
18476,PersonX wins the competition.,xAttr
18477,PersonX tries a new approach.,xNeed
18478,PersonX pretends to be sick.,xWant
18479,PersonX apologizes for their mistake.,xWant
18480,PersonX celebrates with a dance.,xReact
18481,PersonX successfully bids on a rare collectible.,xAttr
18482,PersonX welcomes a new baby into their family.,xAttr
18483,"PersonX uses PersonY method == ""to solve the problem efficiently""",xIntent
18484,PersonX reduces their stress levels.,oReact
18485,PersonX spends an hour playing chess with PersonY.,xWant
18486,PersonX takes a nap.,xReact
18487,PersonY realizes they are missing their laptop.,oEffect
18488,PersonX buys a lawnmower.,xIntent
18489,PersonX improves every project they work on.,xAttr
18490,PersonX feels a sense of accomplishment.,xReact
18491,"PersonX gets urge to walk on them, imagines log cabin",xEffect
18492,PersonX notices a strange noise outside.,xAttr
18493,PersonX honks PersonY's horn == PersonY gets startled and looks around.,xEffect
18494,PersonX comes quickly == in a rush.,xAttr
18495,Person Y turns away from Person X.,oEffect
18496,PersonX goes shoe shopping.,xNeed
18497,PersonX practices diligently to be prepared for the next game.,xNeed
18498,PersonX continues to live.,oEffect
18499,PersonX celebrates their achievement.,xAttr
18500,PersonX learns something new from the experience.,xEffect
18501,"PersonX takes PersonY on a vacation, but PersonY is slow to get ready, so PersonX has to cancel some of his plans.",xEffect
18502,PersonY's friend comforts PersonX.,oEffect
18503,"""Acknowledge and appreciate PersonY's hard work.""",xWant
18504,PersonX pays PersonY tax to receive a tax deduction.,xWant
18505,PersonX starts crying.,xAttr
18506,PersonX considers the evidence from the point of view to assess the situation.,xNeed
18507,PersonX wins the match.,xIntent
18508,PersonY hugs PersonX.,oWant
18509,PersonX meets a girl named PersonY == to marry them.,oWant
18510,PersonX is exhausted.,xNeed
18511,"PersonX tries to swing again, gripping the bat.",xWant
18512,"PersonX cries for help == throat aches, ""gets asked whats wrong""",xEffect
18513,PersonX studies to be a police officer.,xNeed
18514,PersonX touches PersonY's cheek lightly.,xNeed
18515,PersonX needs to choose an outfit.,xWant
18516,PersonX gets accepted into their dream university.,xAttr
18517,PersonX asks for PersonY explanation == To clarify any misunderstandings.,oWant
18518,PersonX raises eyebrows == PersonX is surprised.,xEffect
18519,PersonX feels relieved.,xReact
18520,PersonY giggles.,oEffect
18521,PersonX is hiding a treasure.,xIntent
18522,PersonX calls everyone == everyone assists PersonX with a task.,xReact
18523,PersonX falls to the ground.,xReact
18524,PersonX receives a promotion at work.,oWant
18525,PersonX sees a rainbow.,xReact
18526,PersonX gets scolded by their parents for spending the money.,xEffect
18527,PersonX visits the zoo.,xAttr
18528,PersonX feels proud of their accomplishment.,xReact
18529,PersonX gets hit.,xEffect
18530,PersonX is pondering a solution.,xReact
18531,PersonX finds an old photo album under PersonX's bed.,xAttr
18532,PersonX reads all the books in the library.,xReact
18533,PersonX plays handball well and wins the match.,xWant
18534,PersonX gets professional help to not be addicted.,xIntent
18535,PersonX finds a new book to read.,xNeed
18536,PersonX kisses PersonY's cheek.,xWant
18537,PersonX can read the signs clearly.,xEffect
18538,PersonX thanks PersonY for their help.,oReact
18539,PersonX finds a clue.,xAttr
18540,"PersonY sits down and takes a break, eating pizza.",oWant
18541,PersonX buys a cowboy hat.,xNeed
18542,PersonX finds her way back home.,xAttr
18543,PersonX rakes leaves.,xWant
18544,time,xReact
18545,PersonX takes a deep breath and enters the unknown place.,xReact
18546,PersonX runs away and hides.,oWant
18547,PersonX wins the game.,xReact
18548,PersonX gives the lost wallet back.,xAttr
18549,PersonY feels relieved after listening to PersonX's story.,xAttr
18550,PersonX enjoys a delicious sandwich.,xReact
18551,PersonX starts going to the gym regularly.,xIntent
18552,PersonX enters the room with a smile.,xAttr
18553,PersonX gains independence by starting a successful business.,xReact
18554,PersonX is begging for money.,xReact
18555,PersonX is cautious in making decisions.,xNeed
18556,PersonX is preparing their campaign speech.,xNeed
18557,PersonX helps PersonY with their project.,xReact
18558,PersonY laughs at PersonX's jokes and points out flaws.,oWant
18559,PersonX finds a nearby restaurant.,xWant
18560,PersonY feels grateful and happy.,xIntent
18561,Person X needs to search for Person Y's books.,xNeed
18562,PersonX shows off their new groceries to their friends.,xReact
18563,"Update resume, check job listings, send resumes.",xWant
18564,PersonY stops their car.,xEffect
18565,To see what the gift is.,oWant
18566,She calls her to discuss the situation.,xNeed
18567,PersonX goes to the doctor.,xAttr
18568,PersonX buys a candy bar.,xNeed
18569,PersonX plans an itinerary for exploring new destinations.,xAttr
18570,PersonX begins to yell at PersonY.,xAttr
18571,PersonX feels a sense of comfort.,xAttr
18572,PersonY needs to sign the contract.,xNeed
18573,call someone,xWant
18574,PersonX drives the family back.,oWant
18575,PersonX invests in stocks.,xIntent
18576,PersonX receives the product.,xReact
18577,PersonX borrows money from a friend.,xReact
18578,PersonY sees a car accident happening.,xWant
18579,PersonX wants to find shade.,xAttr
18580,PersonX sees their teacher writing on the whiteboard.,xNeed
18581,PersonX eats delicious sushi at the restaurant.,xEffect
18582,PersonX's cat passed away.,xReact
18583,PersonX causes chaos at the party.,xIntent
18584,PersonX eats a sandwich.,xIntent
18585,PersonX performs PersonX's piano recital well.,xWant
18586,PersonX is excluded from the group.,xAttr
18587,PersonX judges every artwork according to their own personal taste and preference.,oReact
18588,PersonX waves goodbye to PersonY.,xAttr
18589,"PersonX keeps PersonY in their prayers. 
EventB: PersonX crosses their heart.",xWant
18590,PersonX apologizes to their friend.,xAttr
18591,PersonX gives their beloved pet fish away.,oReact
18592,PersonX goes bungee jumping.,xEffect
18593,PersonX has loose fitting clothes and is not recognized by friends.,xEffect
18594,PersonX decides to go on a trip.,oEffect
18595,PersonY asks PersonX questions.,oWant
18596,PersonX is pushed off the boat.,xReact
18597,PersonX realizes they don't have enough gas to make the trip.,xWant
18598,PersonY falls.,xNeed
18599,PersonX upsets their friends.,xAttr
18600,"PersonX turns night into day == Be proud of himself, Enjoy the change",xWant
18601,PersonX tries not to laugh == develops a strong poker face.,xEffect
18602,PersonX smiles and claps enthusiastically.,xReact
18603,door,xNeed
18604,PersonX cleans up the house.,xAttr
18605,PersonX starts writing a novel.,xReact
18606,PersonX does magic tricks == People are amazed and mystified.,oReact
18607,PersonX crosses paths - PersonX stops to say hi.,xWant
18608,People around PersonX furrow their brows in confusion.,oWant
18609,PersonX feels proud to be included in the project team.,xAttr
18610,PersonY is grateful.,xAttr
18611,PersonX remembers to call PersonY.,xWant
18612,PersonX looks for a second job.,xReact
18613,PersonY manages to complete the task successfully.,xAttr
18614,PersonX brings home a kitten.,xNeed
18615,PersonX works closely with PersonY to make sure everyone is working from the same page.,xWant
18616,PersonX grows a successful business by year.,xReact
18617,PersonX fixes a broken water pipe.,xReact
18618,PersonX is comforting PersonY.,xIntent
18619,PersonY provides a detailed explanation to PersonX.,oReact
18620,PersonX finds a delicious meal.,xReact
18621,PersonX buys a new boat == PersonX can now enjoy weekends on the water.,xWant
18622,PersonX makes an insightful decision.,xAttr
18623,PersonX uses PersonX's negotiation skills to prevent a conflict.,xIntent
18624,PersonX runs away.,xWant
18625,PersonY responds to PersonX.,xWant
18626,PersonY offers PersonX a drink and they engage in a conversation.,oWant
18627,My parents scold me.,oReact
18628,PersonX is praised by others.,oReact
18629,"PersonX is considered silly, smiled at, and joked with.",xEffect
18630,PersonX takes a nap.,xReact
18631,PersonY smiles back.,xReact
18632,PersonX reaches the summit of the mountain.,xAttr
18633,PersonY becomes grateful towards PersonX.,oEffect
18634,"PersonX attacks another person, they get into a physical altercation.",xEffect
18635,PersonY analyzes the evidence.,xNeed
18636,PersonX wears a suit that he bought for the job interview.,xIntent
18637,PersonX uses add cleaner to dishwasher to avoid put away dishes.,xWant
18638,PersonY sits down.,xWant
18639,PersonX presents their work to the audience.,xWant
18640,PersonX apologizes to PersonY.,xAttr
18641,PersonX becomes disoriented from the time leap and realizes they have become younger.,xEffect
18642,PersonX introduces themselves to other children.,xIntent
18643,PersonX declines the date.,oEffect
18644,PersonX dedicates PersonY's time to the service.,oReact
18645,PersonX rises from PersonY's seat == PersonY offers the seat to PersonX.,xNeed
18646,PersonX drinks milk because they are thirsty.,xEffect
18647,PersonX vomits and gets concerned looks.,xEffect
18648,PersonX takes a nap.,xReact
18649,PersonY accepts the job offer.,xIntent
18650,PersonX brings a bouquet of flowers.,oWant
18651,PersonY goes home and rests.,xWant
18652,PersonX decides to try skydiving for the first time.,xAttr
18653,PersonX decides to take a break and sit on a bench.,xNeed
18654,PersonX buys a new car.,xReact
18655,PersonY plays on the swings.,xEffect
18656,PersonX has a successful company.,oWant
18657,PersonX spills coffee on PersonX's shirt.,oReact
18658,PersonY reads the letter.,oReact
18659,PersonX finds a new hobby.,xAttr
18660,PersonX gathers their courage to say what's on their mind.,xWant
18661,PersonX goes shopping.,xNeed
18662,"PersonX buys chocolate at the price to eat the chocolate soon, redo his monthly budget.",xWant
18663,PersonX starts a relationship == they take personY on a date.,oEffect
18664,PersonX hears about PersonY's death.,oReact
18665,PersonX arrives at the office.,xIntent
18666,PersonX is jogging in the park.,xAttr
18667,PersonX opens PersonX's curtains == PersonX looks outside.,xWant
18668,to hug PersonX,oWant
18669,PersonX praises that man.,xWant
18670,PersonY gives PersonX a promotion.,xAttr
18671,PersonX wants to kiss PersonY.,xNeed
18672,PersonX bakes a delicious cake.,xAttr
18673,PersonX is more cautious in the future.,xEffect
18674,PersonY hugs PersonX.,oWant
18675,PersonX buys a new leash for PersonY's dog.,xIntent
18676,PersonX fights to win.,xWant
18677,PersonX is choosing groceries with PersonX's mom.,xAttr
18678,PersonX starts dancing.,xNeed
18679,PersonX practices daily to enhance their skills.,xWant
18680,PersonX feels relaxed after watching movies.,xIntent
18681,PersonX comes home.,xWant
18682,PersonX is eager to try it.,xWant
18683,to run faster.,xWant
18684,PersonX takes PersonY outside.,xWant
18685,PersonX earns a spot on the national team.,xAttr
18686,to travel to a new destination.,oWant
18687,PersonX is not willing to share his apple with PersonY.,xAttr
18688,PersonX goes shopping for new clothes.,xAttr
